[398, 251, 111, 244, 30, 325, 490, 417, 431, 121, 105, 6, 303, 120, 305, 371, 365, 318, 426, 151, 433, 65, 314, 170, 87]
[214, 173, 391, 233, 349, 426, 452, 416, 359, 202, 224, 274, 181, 49, 118, 439, 290, 339, 327, 27, 263, 195, 29, 125, 177]
[35, 300, 459, 270, 30, 376, 484, 464, 355, 114, 46, 221, 328, 124, 486, 339, 483, 6, 425, 243, 392, 360, 399, 179, 275]
[91, 274, 65, 275, 5, 190, 198, 435, 9, 266, 317, 100, 452, 444, 95, 449, 214, 97, 480, 249, 189, 285, 373, 147, 92]
[37, 195, 420, 497, 152, 183, 483, 464, 132, 395, 417, 131, 33, 63, 147, 112, 55, 488, 304, 91, 279, 411, 59, 87, 297]
[45, 140, 192, 18, 310, 205, 95, 447, 239, 347, 20, 481, 294, 394, 314, 428, 240, 497, 320, 182, 387, 284, 458, 443, 485]
[274, 129, 498, 454, 470, 449, 243, 236, 203, 442, 340, 233, 373, 114, 436, 105, 294, 376, 83, 1, 461, 327, 182, 177, 467]
[327, 354, 309, 61, 486, 449, 171, 395, 316, 93, 404, 299, 308, 433, 375, 110, 366, 279, 13, 322, 484, 348, 287, 82, 411]
[248, 454, 434, 397, 170, 467, 465, 204, 255, 493, 159, 477, 329, 98, 358, 263, 319, 340, 51, 232, 171, 138, 60, 142, 383]
[153, 89, 164, 78, 92, 105, 99, 290, 169, 53, 269, 458, 431, 207, 160, 5, 201, 138, 292, 259, 233, 461, 491, 241, 322]
[393, 299, 233, 470, 275, 199, 86, 75, 188, 378, 62, 238, 333, 475, 443, 105, 241, 54, 127, 91, 111, 454, 471, 27, 251]
[150, 23, 109, 377, 203, 364, 43, 454, 262, 191, 338, 107, 126, 160, 271, 389, 436, 467, 418, 218, 437, 420, 45, 21, 93]
[54, 232, 339, 104, 303, 459, 170, 419, 156, 165, 89, 262, 225, 491, 235, 131, 452, 214, 1, 424, 464, 207, 465, 123, 162]
[265, 271, 247, 495, 369, 140, 111, 340, 170, 376, 397, 167, 353, 246, 291, 295, 484, 240, 365, 445, 138, 258, 144, 20, 366]
[445, 274, 151, 355, 252, 188, 404, 13, 159, 338, 458, 448, 107, 244, 289, 330, 367, 25, 114, 202, 23, 360, 161, 468, 334]
[320, 217, 457, 57, 47, 403, 444, 352, 292, 410, 456, 408, 167, 422, 69, 305, 283, 486, 137, 219, 379, 201, 304, 311, 65]
[126, 410, 360, 369, 493, 58, 481, 195, 121, 162, 236, 103, 182, 155, 250, 261, 440, 196, 29, 319, 347, 55, 353, 95, 115]
[344, 138, 260, 381, 152, 250, 237, 293, 141, 86, 361, 240, 357, 482, 118, 340, 399, 134, 473, 309, 38, 485, 487, 137, 359]
[365, 348, 376, 161, 28, 371, 239, 492, 123, 281, 383, 129, 130, 500, 423, 190, 413, 294, 393, 439, 410, 498, 232, 425, 138]
[471, 369, 177, 229, 341, 228, 454, 492, 136, 354, 413, 93, 390, 199, 152, 41, 25, 315, 302, 424, 148, 473, 491, 274, 172]
[14, 363, 404, 282, 344, 75, 239, 447, 330, 50, 183, 434, 57, 451, 109, 30, 342, 210, 146, 6, 332, 17, 194, 207, 285]
[170, 338, 292, 370, 74, 121, 323, 81, 7, 120, 194, 176, 432, 117, 279, 49, 256, 304, 169, 353, 281, 230, 499, 446, 316]
[55, 280, 256, 29, 9, 357, 144, 254, 30, 47, 150, 180, 293, 392, 2, 129, 371, 369, 251, 337, 111, 365, 456, 235, 128]
